Time;Channel A;Channel B
(ms);(V);(V)

-3,60021181;0,04306102;-1,74864662
-3,60001181;0,04306102;-1,74864662
-3,59981181;0,04306102;-1,74864662
-3,59961181;0,00000000;-1,74864662
-3,59941181;0,00000000;-1,74864662
-3,59921181;0,00000000;-1,74864662
-3,59901181;-0,04306102;-1,74864662
-3,59881181;0,00000000;-1,74864662
-3,59861181;0,00000000;-1,74864662
-3,59841181;0,00000000;-1,74864662
-3,59821181;0,00000000;-1,74864662
-3,59801181;0,00000000;-1,74864662
-3,59781181;0,04306102;-1,74864662
-3,59761181;-0,04306102;-1,74864662
-3,59741181;0,00000000;-1,74864662
-3,59721181;0,04306102;-1,74864662
-3,59701181;-0,04306102;-1,74864662
-3,59681181;0,00000000;-1,74864662
-3,59661181;0,00000000;-1,74864662
-3,59641181;0,00000000;-1,74864662
-3,59621181;0,00000000;-1,74864662
-3,59601181;0,00000000;-1,74864662
-3,59581181;0,00000000;-1,76574802
-3,59561181;0,00000000;-1,76574802
-3,59541181;-0,04306102;-1,74864662
-3,59521181;0,00000000;-1,74864662
-3,59501181;0,00000000;-1,74864662
-3,59481181;0,00000000;-1,76574802
-3,59461181;0,00000000;-1,74864662
-3,59441181;0,00000000;-1,74864662
-3,59421181;0,00000000;-1,74864662
-3,59401181;0,04306102;-1,74864662
-3,59381181;0,00000000;-1,74864662
-3,59361181;0,00000000;-1,74864662
-3,59341181;-0,04306102;-1,74864662
-3,59321181;0,04306102;-1,74864662
-3,59301181;0,00000000;-1,74864662
-3,59281181;0,00000000;-1,74864662
-3,59261181;0,00000000;-1,74864662
-3,59241181;-0,04306102;-1,74864662
-3,59221181;-0,04306102;-1,74864662
-3,59201181;-0,04306102;-1,74864662
-3,59181181;0,00000000;-1,74864662
-3,59161181;0,00000000;-1,74864662
-3,59141181;0,00000000;-1,76574802
-3,59121181;0,04306102;-1,74864662
-3,59101181;0,04306102;-1,74864662
-3,59081181;0,00000000;-1,76574802
-3,59061181;-0,04306102;-1,74864662
-3,59041181;0,00000000;-1,76574802
-3,59021181;0,00000000;-1,74864662
-3,59001181;-0,04306102;-1,74864662
-3,58981181;0,04306102;-1,74864662
-3,58961181;0,00000000;-1,74864662
-3,58941181;0,00000000;-1,74864662
-3,58921181;0,00000000;-1,74864662
-3,58901181;0,00000000;-1,76574802
-3,58881181;-0,04306102;-1,74864662
-3,58861181;0,04306102;-1,74864662
-3,58841181;0,00000000;-1,74864662
-3,58821181;0,00000000;-1,74864662
-3,58801181;0,00000000;-1,74864662
-3,58781181;-0,04306102;-1,74864662
-3,58761181;0,00000000;-1,76574802
-3,58741181;-0,04306102;-1,74864662
-3,58721181;0,00000000;-1,74864662
-3,58701181;0,00000000;-1,76574802
-3,58681181;0,04306102;-1,74864662
-3,58661181;0,00000000;-1,74864662
-3,58641181;0,00000000;-1,74864662
-3,58621181;-0,04306102;-1,74864662
-3,58601181;0,04306102;-1,76574802
-3,58581181;0,00000000;-1,74864662
-3,58561181;0,04306102;-1,74864662
-3,58541181;0,00000000;-1,74864662
-3,58521181;0,00000000;-1,74864662
-3,58501181;0,00000000;-1,74864662
-3,58481181;0,00000000;-1,74864662
-3,58461181;0,00000000;-1,76574802
-3,58441181;-0,04306102;-1,74864662
-3,58421181;0,00000000;-1,76574802
-3,58401182;0,04306102;-1,74864662
-3,58381182;0,00000000;-1,74864662
-3,58361182;0,00000000;-1,76574802
-3,58341182;0,00000000;-1,74864662
-3,58321182;0,00000000;-1,74864662
-3,58301182;0,04306102;-1,74864662
-3,58281182;0,00000000;-1,74864662
-3,58261182;0,00000000;-1,74864662
-3,58241182;0,00000000;-1,74864662
-3,58221182;0,00000000;-1,74864662
-3,58201182;0,00000000;-1,74864662
-3,58181182;0,00000000;-1,74864662
-3,58161182;0,00000000;-1,74864662
-3,58141182;0,04306102;-1,74864662
-3,58121182;0,00000000;-1,74864662
-3,58101182;0,04306102;-1,74864662
-3,58081182;0,00000000;-1,74864662
-3,58061182;0,04306102;-1,74864662
-3,58041182;0,00000000;-1,74864662
-3,58021182;0,00000000;-1,74864662
-3,58001182;0,00000000;-1,74864662
-3,57981182;0,00000000;-1,74864662
-3,57961182;0,04306102;-1,74864662
-3,57941182;-0,04306102;-1,74864662
-3,57921182;0,00000000;-1,74864662
-3,57901182;0,00000000;-1,74864662
-3,57881182;0,00000000;-1,74864662
-3,57861182;0,04306102;-1,74864662
-3,57841182;0,00000000;-1,74864662
-3,57821182;-0,04306102;-1,74864662
-3,57801182;0,00000000;-1,74864662
-3,57781182;0,04306102;-1,74864662
